site_net_kwh,site_net_kvarh,kva,tariff
3.163065304,1.687734367,14.3406719,OFF-PEAK
3.211659883,1.692002399,14.52040293,OFF-PEAK
3.211659883,1.692002399,14.52040293,OFF-PEAK
3.114470725,1.674314926,14.14397872,OFF-PEAK
3.114470725,1.674314926,14.14397872,OFF-PEAK
3.158647615,1.70090466,14.34998616,OFF-PEAK
3.158647615,1.70090466,14.34998616,OFF-PEAK
3.167482993,1.683140288,14.34763241,OFF-PEAK
3.167482993,1.683140288,14.34763241,OFF-PEAK
3.158647615,1.678784529,14.30824783,OFF-PEAK
3.158647615,1.678784529,14.30824783,OFF-PEAK
3.233748328,1.68756124,14.59040297,OFF-PEAK
3.233748328,1.68756124,14.59040297,OFF-PEAK
3.123306103,1.683139536,14.19182847,OFF-PEAK
3.123306103,1.683139536,14.19182847,OFF-PEAK
3.118888414,1.67872609,14.16789962,OFF-PEAK
3.118888414,1.67872609,14.16789962,OFF-PEAK
3.105635347,1.652216207,14.07112749,OFF-PEAK
3.105635347,1.652216207,14.07112749,OFF-PEAK
3.255836772,1.740960273,14.76829889,OFF-PEAK
3.255836772,1.740960273,14.76829889,OFF-PEAK
3.286760595,1.758240021,14.90997153,OFF-PEAK
3.286760595,1.758240021,14.90997153,OFF-PEAK
3.216077572,1.727383978,14.60247122,OFF-PEAK
3.216077572,1.727383978,14.60247122,OFF-PEAK
3.247001394,1.767087336,14.78681343,OFF-PEAK
3.247001394,1.767087336,14.78681343,OFF-PEAK
3.242583705,1.727398503,14.69598839,OFF-PEAK
3.242583705,1.727398503,14.69598839,OFF-PEAK
3.251419083,1.683257084,14.64517967,OFF-PEAK
3.251419083,1.683257084,14.64517967,OFF-PEAK
3.062904863,1.687566358,13.98814722,OFF-PEAK
3.062904863,1.687566358,13.98814722,OFF-PEAK
2.996639528,1.692021315,13.76533884,OFF-PEAK
2.996639528,1.692021315,13.76533884,OFF-PEAK
2.567227035,1.687557569,12.28886013,OFF-PEAK
2.567227035,1.687557569,12.28886013,OFF-PEAK
2.562809346,1.714095137,12.33279458,OFF-PEAK
2.562809346,1.714095137,12.33279458,OFF-PEAK
1.857994861,1.644557,9.925089525,OFF-PEAK
1.857994861,1.644557,9.925089525,OFF-PEAK
1.86241255,1.727417571,10.16074955,OFF-PEAK
1.86241255,1.727417571,10.16074955,OFF-PEAK
1.138057025,1.740586958,8.318477507,OFF-PEAK
1.138057025,1.740586958,8.318477507,OFF-PEAK
1.11596858,1.74498912,8.285286141,OFF-PEAK
1.11596858,1.74498912,8.285286141,OFF-PEAK
-2.456993722,1.74941254,12.06466734,OFF-PEAK
-2.456993722,1.74941254,12.06466734,OFF-PEAK
-2.443740655,1.745047927,12.01136838,OFF-PEAK
-2.443740655,1.745047927,12.01136838,OFF-PEAK
-0.526321547,1.745017565,7.290652287,OFF-PEAK
-0.526321547,1.745017565,7.290652287,OFF-PEAK
-0.650016839,1.709664119,7.316254002,OFF-PEAK
-0.650016839,1.709664119,7.316254002,OFF-PEAK
-0.798973445,0.823937881,4.590829463,OFF-PEAK
-0.798973445,0.823937881,4.590829463,OFF-PEAK
0.667699294,1.833343202,7.804582903,OFF-PEAK
0.667699294,1.833343202,7.804582903,OFF-PEAK
1.925246997,1.802426193,10.54917337,OFF-PEAK
1.925246997,1.802426193,10.54917337,OFF-PEAK
